cluster,cluster_name,district,num_reviews,rating_overall,photos_count,instant_book,min_nights,extra_guest_fee_policy,nearest_poi_dist_km,bedrooms,baths
0,핫플 수익형,Mapo-gu,23,4.96,69,False,0,0,0.038,3,2.0
0,핫플 수익형,Mapo-gu,61,4.59,27,False,0,0,0.135,3,1.0
1,로컬 주거형,Songpa-gu,144,4.8,28,False,1,1,0.103,1,1.0
1,로컬 주거형,Yeongdeungpo-gu,32,4.97,53,False,6,0,0.205,1,1.0
0,핫플 수익형,Mapo-gu,53,4.91,18,False,7,0,0.05,1,0.0
0,핫플 수익형,Mapo-gu,98,4.68,37,False,2,0,0.033,2,1.0
1,로컬 주거형,Seongbuk-gu,29,4.97,41,True,2,0,0.033,3,1.0
0,핫플 수익형,Mapo-gu,40,4.83,37,False,2,0,0.122,2,1.0
3,프리미엄 비즈니스,Gangnam-gu,18,4.67,44,False,1,0,0.065,1,1.5
0,핫플 수익형,Mapo-gu,50,4.72,21,True,1,0,0.029,1,1.0
0,핫플 수익형,Mapo-gu,9,4.78,11,True,4,0,0.056,2,1.0
0,핫플 수익형,Mapo-gu,52,4.73,43,False,4,0,0.17,1,1.0
