cluster,cluster_name,district,num_reviews,rating_overall,photos_count,instant_book,min_nights,extra_guest_fee_policy,nearest_poi_dist_km,bedrooms,baths
3,프리미엄 비즈니스,Jongno-gu,17,4.76,38,False,5,0,0.131,1,1.0
3,프리미엄 비즈니스,Yongsan-gu,70,4.76,48,False,1,0,0.131,1,1.0
0,핫플 수익형,Mapo-gu,38,4.66,23,False,2,0,0.064,1,1.0
1,로컬 주거형,Gwangjin-gu,38,4.84,19,False,1,0,0.188,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,32,4.97,57,True,2,0,0.311,2,1.0
3,프리미엄 비즈니스,Seocho-gu,63,4.65,22,False,1,0,0.041,1,1.0
2,가성비 신흥형,Dongjak-gu,76,4.99,28,False,5,0,0.291,2,1.0
3,프리미엄 비즈니스,Gangnam-gu,34,4.88,50,True,1,0,0.054,1,1.0
3,프리미엄 비즈니스,Jongno-gu,38,4.82,56,False,1,0,0.148,2,1.0
2,가성비 신흥형,Dongjak-gu,169,4.8,43,True,10,0,0.313,3,2.0
3,프리미엄 비즈니스,Yongsan-gu,36,4.92,20,False,3,0,0.071,1,1.0
1,로컬 주거형,Gwangjin-gu,78,4.81,43,False,1,0,0.053,1,1.0
3,프리미엄 비즈니스,Jung-gu,20,4.75,110,True,1,0,0.079,1,1.0
3,프리미엄 비즈니스,Seocho-gu,136,4.89,14,False,1,0,0.025,0,1.0
3,프리미엄 비즈니스,Yongsan-gu,17,4.76,15,False,1,0,0.077,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,84,4.88,33,False,1,0,0.092,1,1.0
3,프리미엄 비즈니스,Jongno-gu,21,4.86,23,False,1,0,0.016,1,1.0
0,핫플 수익형,Mapo-gu,90,4.69,41,False,3,0,0.022,2,1.0
0,핫플 수익형,Mapo-gu,87,4.67,55,False,3,0,0.057,1,1.0
3,프리미엄 비즈니스,Jongno-gu,108,4.85,14,False,1,0,0.032,1,1.0
3,프리미엄 비즈니스,Seocho-gu,76,4.67,9,True,1,0,0.011,1,1.0
3,프리미엄 비즈니스,Yongsan-gu,38,4.66,54,False,5,0,0.051,3,1.0
2,가성비 신흥형,Seodaemun-gu,80,4.95,71,False,1,0,0.335,3,1.0
0,핫플 수익형,Mapo-gu,60,4.8,14,False,2,0,0.056,1,1.0
0,핫플 수익형,Mapo-gu,20,4.8,14,False,10,0,0.119,3,1.0
0,핫플 수익형,Mapo-gu,43,4.63,180,True,1,0,0.07,2,1.0
3,프리미엄 비즈니스,Jongno-gu,180,4.67,33,True,2,0,0.02,2,1.0
2,가성비 신흥형,Dongdaemun-gu,85,4.89,34,False,3,0,0.147,1,1.0
3,프리미엄 비즈니스,Jongno-gu,23,4.74,17,False,2,1,0.105,2,1.0
0,핫플 수익형,Mapo-gu,53,4.68,37,False,6,1,0.136,1,1.0
3,프리미엄 비즈니스,Jung-gu,30,4.77,27,False,1,0,0.037,0,0.0
