,ttm_revpar
19393,1028.9
10702,29186.0
5219,63552.1
3396,82719.3
13581,17136.5
6271,54779.1
2727,93322.8
134,332539.9
9951,32940.5
15855,16682.4
16682,14567.3
2994,88779.0
10915,28165.5
4252,72750.2
808,163207.1
8766,39529.9
14158,15015.8
6354,54194.8
429,215744.5
14822,26668.5
16276,7935.8
3552,80691.6
4850,67127.7
15317,10912.3
15474,10331.8
7477,47232.4
1269,135802.0
7079,49658.4
12492,21169.5
12222,22359.6
10686,29241.5
14667,13090.1
14644,13203.3
10257,31339.3
3206,85572.1
2359,100463.7
13821,16280.8
5533,60747.6
17321,5213.6
3108,87159.1
4415,71245.6
5177,63978.7
9172,37187.1
6218,55278.7
15769,9426.8
10206,31606.5
17993,3627.6
19058,1513.6
5991,57030.4
6901,50829.1
19404,1015.5
13490,17471.6
9775,33862.9
381,228061.4
17512,7923.1
12641,20615.1
3850,77045.9
2848,90963.1
7014,50047.8
0,830186.1
9609,34845.9
9756,34019.5
3133,86676.0
7844,105565.2
8548,40849.8
7279,48478.6
11775,24367.6
12766,20215.9
12332,21958.3
7714,45852.3
5407,61808.0
16852,6407.8
3762,78103.7
2354,100548.6
13883,16013.7
9618,34790.7
9895,33275.9
2048,108619.7
3398,82705.2
4219,73105.4
4976,65792.4
16943,6175.8
11683,24732.9
9484,35453.6
12953,19506.6
3914,76311.3
15816,9712.6
6919,50713.7
10452,30378.8
6320,54443.2
4212,73156.0
8550,40817.3
5126,64441.5
4521,70147.9
7555,46747.1
11951,48719.1
216,282555.1
12229,22332.3
14004,15513.9
10199,31662.3
7705,45924.2
16675,6836.2
875,157492.7
8034,44016.5
43,463513.2
17,553841.8
13954,27428.2
9443,35656.3
1911,112018.1
4086,74321.8
10465,30314.4
9527,35230.3
13995,15537.3
5511,60922.1
9694,34388.6
10674,29312.5
14235,14707.7
8742,39672.3
3661,79243.1
15694,9682.0
10094,32139.1
15572,10020.0
8876,45951.5
7711,45877.3
9539,35145.5
10225,58082.9
16504,7301.6
11614,24941.4
3386,82821.8
259,264683.2
10955,28009.3
445,212965.7
9530,35213.2
14779,12642.7
11166,53381.2
