,superhost,instant_book,bedrooms_group,baths_group,guests_group,min_nights,extra_guest_fee_policy,rating_overall,photos_count,num_reviews,nearest_poi_dist_km,district_listing_count,district_superhost_rate,district_operating_rate,district_entire_home_rate,ttm_pop,photos_tier,review_rate,poi_dist_category,room_type_hotel_room,room_type_private_room,room_type_shared_room,nearest_poi_type_name_레포츠,nearest_poi_type_name_문화시설,nearest_poi_type_name_쇼핑,nearest_poi_type_name_숙박,nearest_poi_type_name_여행코스,nearest_poi_type_name_음식점,nearest_poi_type_name_축제공연행사
2837,1,1,5,6,5,1,0,4.97,126,76,0.018,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,3,0.2178024869094902,0,False,False,False,False,False,False,False,False,True,False
6878,0,1,5,6,5,1,0,4.69,13,29,0.095,1051,0.4081826831588963,0.8943862987630827,0.7136060894386299,516461,0,0.0963055206432361,0,False,False,False,False,False,False,False,False,True,False
430,1,1,5,6,5,1,0,4.81,16,161,0.033,2640,0.4166666666666667,0.8897727272727273,0.5238636363636363,302528,1,0.5093486016345073,0,False,False,False,False,False,False,True,False,False,False
10108,1,0,5,6,5,1,0,4.87,38,354,0.249,738,0.4715447154471545,0.8915989159891599,0.8143631436314364,546936,3,1.76982300885,0,False,False,False,False,False,False,False,False,True,False
7439,1,1,5,6,5,1,0,4.87,62,102,0.23,2870,0.3898954703832752,0.8850174216027874,0.7641114982578397,293254,3,0.4050029763549614,0,False,False,False,False,False,False,False,False,True,False
4548,1,0,5,6,5,5,1,4.92,58,25,0.046,579,0.4559585492227979,0.8877374784110535,0.7892918825561313,353653,3,0.0856164380629574,0,False,False,False,False,False,False,False,False,False,False
5817,1,1,5,6,5,3,0,4.81,15,32,0.169,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,1,0.1576820727422781,0,False,False,False,False,False,False,False,False,False,True
9068,0,0,5,6,5,2,0,4.57,8,44,0.043,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,0,0.1477303245107093,0,False,False,False,False,False,False,False,False,False,True
2755,0,1,5,6,5,8,1,4.79,25,24,0.066,3097,0.3580884727155312,0.853406522441072,0.7936712948014207,863150,2,0.1131728474138926,0,False,False,False,False,False,False,False,False,True,False
8708,0,0,5,6,5,2,1,4.86,21,93,0.054,816,0.4877450980392157,0.8884803921568627,0.8100490196078431,373225,1,0.3578574713026879,0,False,False,False,True,False,False,False,False,False,False
8312,1,0,5,6,5,2,0,4.94,47,72,0.389,862,0.3294663573085847,0.8897911832946636,0.5359628770301624,362689,3,0.2130240533358263,1,False,True,False,False,False,False,False,False,True,False
409,1,1,5,6,5,1,0,4.88,23,286,0.045,3589,0.3948174979102814,0.8927277793257175,0.5274449707439398,315657,2,1.157402718854727,0,False,False,False,False,True,False,False,False,False,False
8469,0,1,5,6,5,1,0,4.82,10,11,0.028,2640,0.4166666666666667,0.8897727272727273,0.5238636363636363,302528,0,0.0590921296852423,0,False,True,False,False,False,True,False,False,False,False
1627,1,1,5,6,5,1,0,4.92,46,36,0.092,3589,0.3948174979102814,0.8927277793257175,0.5274449707439398,315657,3,0.1275939671885237,0,False,False,False,False,False,False,False,False,True,False
3962,1,1,5,6,5,28,0,4.73,8,95,0.115,3097,0.3580884727155312,0.853406522441072,0.7936712948014207,863150,0,0.2924426649455359,0,False,False,False,False,True,False,False,False,False,False
6927,1,0,5,6,5,0,0,4.89,9,45,0.06,579,0.4559585492227979,0.8877374784110535,0.7892918825561313,353653,0,0.2887299073579294,0,False,False,False,False,False,False,False,False,True,False
8689,1,1,5,6,5,6,1,4.96,20,23,0.265,738,0.4715447154471545,0.8915989159891599,0.8143631436314364,546936,1,0.0776987650027911,0,False,False,False,False,False,False,False,False,True,False
7480,1,1,5,6,5,2,0,4.91,34,231,0.031,2870,0.3898954703832752,0.8850174216027874,0.7641114982578397,293254,2,1.5941478789955634,0,False,True,False,False,False,False,True,False,False,False
12976,1,0,5,6,5,2,1,4.9,19,88,0.172,816,0.4877450980392157,0.8884803921568627,0.8100490196078431,373225,1,0.3163988051760011,0,False,True,False,False,False,False,False,False,True,False
7752,1,0,5,6,5,2,0,4.9,25,30,0.205,1165,0.3639484978540772,0.9313304721030042,0.7399141630901288,470739,2,0.1508106062545652,0,False,False,False,False,False,True,False,False,False,False
9550,0,0,5,6,5,1,0,4.74,11,85,0.092,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,0,0.6033075406110615,0,False,True,False,False,False,False,True,False,False,False
11971,1,1,5,6,5,5,0,4.93,16,58,0.369,862,0.3294663573085847,0.8897911832946636,0.5359628770301624,362689,1,0.7639620552692037,1,False,False,False,False,True,False,False,False,False,False
3683,0,0,5,6,5,1,0,4.73,20,88,0.14,1034,0.4410058027079304,0.8839458413926499,0.8317214700193424,744624,1,0.3293659692740251,0,False,False,False,False,False,False,False,False,True,False
958,1,0,5,6,5,1,0,4.85,33,121,0.053,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,2,0.3591623492210856,0,False,False,False,False,False,False,False,False,True,False
3045,1,1,5,6,5,0,0,5.0,14,19,0.03,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,1,0.0891349217060662,0,False,False,False,False,False,False,False,False,True,False
5332,1,0,5,6,5,14,0,4.92,10,24,0.274,2870,0.3898954703832752,0.8850174216027874,0.7641114982578397,293254,0,0.0825011598889632,0,False,False,False,False,False,False,False,False,True,False
2926,0,1,5,6,5,3,0,4.59,26,56,0.045,2870,0.3898954703832752,0.8850174216027874,0.7641114982578397,293254,2,0.2900277065021741,0,False,False,False,False,False,False,False,True,False,False
15649,0,0,5,6,5,28,0,4.71,9,7,0.004,1034,0.4410058027079304,0.8839458413926499,0.8317214700193424,744624,0,0.0454456921025404,0,False,True,False,False,False,False,False,False,True,False
13004,1,1,5,6,5,1,1,4.75,32,4,0.026,3589,0.3948174979102814,0.8927277793257175,0.5274449707439398,315657,2,0.1543507561508487,0,False,False,False,False,False,True,False,False,False,False
10611,1,1,5,6,5,5,0,4.91,115,78,0.156,2640,0.4166666666666667,0.8897727272727273,0.5238636363636363,302528,3,0.265464135912655,0,False,False,False,False,False,False,True,False,False,False
14954,0,0,5,6,5,5,0,4.67,8,9,0.202,2640,0.4166666666666667,0.8897727272727273,0.5238636363636363,302528,0,0.061184948086713,0,False,True,False,False,True,False,False,False,False,False
6774,0,0,5,6,5,0,0,4.86,23,7,0.111,2870,0.3898954703832752,0.8850174216027874,0.7641114982578397,293254,2,0.0526870385918482,0,False,False,False,False,False,False,False,False,True,False
8495,1,0,5,6,5,1,0,4.95,41,60,0.017,3097,0.3580884727155312,0.853406522441072,0.7936712948014207,863150,3,0.2899180967364012,0,False,True,False,False,False,False,False,False,True,False
11139,0,0,5,6,5,1,0,0.0,5,2,0.031,3589,0.3948174979102814,0.8927277793257175,0.5274449707439398,315657,0,0.0256049158160937,0,False,True,False,False,False,True,False,False,False,False
9246,1,0,5,6,5,0,1,4.95,40,39,0.083,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,3,0.3402844399242262,0,False,False,False,False,False,False,False,False,True,False
7669,0,0,5,6,5,1,0,4.81,25,242,0.021,816,0.4877450980392157,0.8884803921568627,0.8100490196078431,373225,2,1.20987900605,0,False,False,False,False,False,False,False,False,True,False
1714,1,0,5,6,5,2,0,5.0,18,27,0.274,1596,0.3840852130325815,0.8771929824561403,0.781328320802005,588202,1,0.0873348317596842,0,False,False,False,False,False,False,True,False,False,False
12620,0,0,5,6,5,5,1,4.63,9,35,0.344,1165,0.3639484978540772,0.9313304721030042,0.7399141630901288,470739,0,0.1412229905331249,1,False,False,False,False,False,False,False,False,False,False
3667,1,1,5,6,5,1,0,4.89,38,137,0.058,262,0.5229007633587787,0.916030534351145,0.6755725190839694,267641,3,0.4189090006760365,0,False,False,False,False,False,False,False,False,True,False
1439,1,1,5,6,5,2,0,4.95,63,122,0.086,2640,0.4166666666666667,0.8897727272727273,0.5238636363636363,302528,3,0.4066260027109756,0,False,False,False,False,False,True,False,False,False,False
12920,1,0,5,6,5,17,0,5.0,15,17,0.053,1596,0.3840852130325815,0.8771929824561403,0.781328320802005,588202,1,0.1885641374459083,0,False,False,False,False,False,False,False,False,False,True
8916,1,1,5,6,5,2,0,4.94,53,134,0.103,579,0.4559585492227979,0.8877374784110535,0.7892918825561313,353653,3,0.5579381248368317,0,False,True,False,False,False,False,False,False,True,False
828,0,0,5,6,5,4,0,4.94,25,68,0.092,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,2,0.1977721542687603,0,False,False,False,False,False,False,True,False,False,False
3736,1,1,5,6,5,2,0,4.74,53,70,0.057,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,3,0.3430783917314264,0,False,False,False,False,False,False,True,False,False,False
10119,0,1,5,6,5,1,0,4.43,24,30,0.151,2640,0.4166666666666667,0.8897727272727273,0.5238636363636363,302528,2,0.2475656028423369,0,False,False,False,False,False,True,False,False,False,False
5461,1,1,5,6,5,1,0,4.95,21,21,0.025,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,1,0.0924987882989085,0,False,False,False,False,False,True,False,False,False,False
18473,1,1,5,6,5,2,0,0.0,30,2,0.008,3589,0.3948174979102814,0.8927277793257175,0.5274449707439398,315657,2,0.2191780581722676,0,False,True,False,False,False,True,False,False,False,False
12098,1,0,5,6,5,0,0,4.83,25,12,0.228,2870,0.3898954703832752,0.8850174216027874,0.7641114982578397,293254,2,0.0594515590703185,0,False,False,False,False,True,False,False,False,False,False
3905,1,0,5,6,5,1,0,4.85,26,131,0.082,1596,0.3840852130325815,0.8771929824561403,0.781328320802005,588202,2,0.517899145988657,0,False,False,False,False,False,False,True,False,False,False
8702,0,1,5,6,5,1,0,4.53,26,19,0.056,3589,0.3948174979102814,0.8927277793257175,0.5274449707439398,315657,2,0.1073294726319476,0,False,True,False,False,False,False,False,False,True,False
410,1,0,5,6,4,1,0,4.94,82,83,0.089,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,3,0.3106519937470918,0,False,False,False,False,False,False,False,True,False,False
1301,1,0,5,6,5,1,0,4.88,76,129,0.113,579,0.4559585492227979,0.8877374784110535,0.7892918825561313,353653,3,0.7503708184255544,0,False,False,False,False,False,False,True,False,False,False
12943,0,0,5,6,5,1,1,0.0,24,2,0.054,2870,0.3898954703832752,0.8850174216027874,0.7641114982578397,293254,2,0.0224567704642177,0,False,False,False,False,False,False,True,False,False,False
3221,1,1,5,6,5,10,0,4.9,63,244,0.04,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,3,1.0332197030203905,0,False,False,False,False,False,False,False,False,True,False
18744,0,1,5,6,5,0,0,4.0,15,11,0.402,806,0.2679900744416873,0.8945409429280397,0.5124069478908189,379647,1,0.7008601018884931,1,False,False,False,False,False,False,True,False,False,False
5710,1,0,5,6,5,5,0,4.88,11,65,0.274,3097,0.3580884727155312,0.853406522441072,0.7936712948014207,863150,0,0.2005430081434561,0,False,False,False,False,False,False,False,False,False,False
1104,1,1,5,6,5,1,0,4.95,29,127,0.032,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,2,0.510183583697491,0,False,False,False,False,False,False,False,False,True,False
18534,1,0,5,6,5,25,0,3.75,13,4,0.464,144,0.5486111111111112,0.9166666666666666,0.8680555555555556,335209,0,0.1178376751263021,1,False,True,False,False,False,True,False,False,False,False
