,log_target
15323,9.295848119080777
9581,10.46234591083699
4351,11.182775599970851
14333,9.567791014982587
17036,8.690776682266907
3939,11.239083179324709
8579,10.61267785130535
6357,10.90023506019194
11567,10.132370601377545
3042,11.383180039376713
3788,11.261566321403894
1097,11.88077869838353
2837,11.419736134574023
6878,10.839557382017878
430,12.280960242269083
10108,10.375445520816644
7439,10.768065954871345
4548,11.154835234271214
5817,10.978005216450162
9068,10.540402948626022
2755,11.438021945683555
8708,10.592937908251784
8312,10.654738533250855
409,12.302332374370087
8469,10.63131389901808
1627,11.703692921197657
3962,11.235680733475812
6927,10.832913636703275
8689,10.59551911102112
7480,10.762608811685656
12976,9.872775735828808
7752,10.728408331705516
9550,10.465708515482921
11971,10.065198155425959
3683,11.275755248329055
958,11.929791336693734
3045,11.382853225428299
5332,11.042004615206332
2926,11.406417624720518
15649,9.192878802265062
13004,10.035103361601431
10611,10.295147810667734
14954,9.399736842442099
6774,10.852980925238
8495,10.626530857079018
11139,10.209283326852127
9246,10.714091048718613
7669,10.738080040425778
1714,11.676689219351912
12620,9.937753704403747
3667,11.278182398645928
1439,11.762350999302555
12920,9.884855040388127
8916,10.563597462993863
828,11.990651077809872
3736,11.268021871873454
10119,10.37425026860255
5461,11.02306192678775
18473,7.856629360752312
12098,10.042040068197377
3905,11.24371179680149
8702,10.594291991017595
410,12.301558718955217
1301,11.80662365424566
12943,9.881221493481956
3221,11.35444425525252
18744,7.919356190660617
5710,10.990612446339853
1104,11.875154556037868
18534,7.7985640868416
73,12.885798917242235
3163,11.365649764885147
3881,11.24812493521703
12115,10.03975208173778
10945,10.241173338223003
7196,10.79821138169509
291,12.445162771666066
5816,10.978208365950968
7809,10.721051273882617
12374,9.988517801720704
5476,11.021497157614887
2121,11.578255235487429
4875,11.110614876130263
1827,11.647479959047928
16085,9.045607228208395
12980,9.8724457011206
8665,10.599438299428742
4005,11.228688119295356
318,12.420113290825343
5127,11.073399827032784
3572,11.293917101967503
15785,9.143698306606623
16051,9.412856636055656
1851,11.641251834936401
4913,11.105780947443174
3083,11.378688680758405
144,12.69838770093223
15307,9.300290759174445
5542,11.013427111429912
8701,10.594367164103662
11691,10.114125230377976
8995,10.551286887344418
8755,10.585973099326957
17204,8.610574238913545
12947,9.879840143530135
8157,10.675942555422893
1856,11.640111266852154
9265,10.510989694967497
85,12.83452422594962
3785,11.262142181321321
1233,11.833607983223713
3849,11.252182585347635
4925,11.102528716288539
15031,9.379255800187222
10409,10.328101479483053
13532,9.759236047138058
6364,10.899267608225982
15730,9.165186089969072
600,12.127211780871644
6470,10.888178713771383
17386,8.527202926445536
18665,7.68703428317137
8634,10.604233290796374
3745,11.267200103004965
8856,11.16840492748942
18048,8.155620559072412
16704,8.820979885491369
6156,10.929238783636999
61,12.934407658485279
5214,11.06019735099256
5843,10.973876962885495
10745,10.27631927002959
11394,11.022640757989153
9574,10.463206192324975
14978,9.392128453163993
13802,9.702019872899779
5207,11.060931484045089
4609,11.145752754648552
7111,10.80941880986925
19440,6.86651653096554
14027,9.645467836834488
7468,10.764039333244586
12368,9.99001839742203
7033,10.818809815595717
6705,10.860684115416161
967,11.926410328698578
475,12.233887209024763
1532,11.73482183888192
2329,11.524586213413015
16573,8.86984806569208
5698,10.991670645713699
3596,11.28921800468924
1498,11.743604552678804
8447,10.63448190722252
4650,11.141060012971865
2962,11.400764098081899
4623,11.14350825349057
6877,10.839671103717473
13278,9.811021324863534
9410,11.060010194489072
4520,11.158418169982067
4427,11.170818181251473
12482,9.962812506620812
4839,11.116233262148452
9725,10.43931695998594
9698,10.44501792363945
9966,10.654002291730391
4485,11.162613094009894
17634,8.394528258668247
10615,10.294775978001669
